,Unnamed: 0,title,poster,release_date,over_view
62,62,몽키키드,/t/p/w94_and_h141_bestv2/ufePz8xAtJBM4oz7llX7u2q5a9Y.jpg,"9월  9, 2021","오래된 전설 이야기를 좋아하는 소년 MK가 우마왕을 봉인하기 위해 산 꼭대기에 꽂혀 있던 몽키 킹의 황금봉을 발견한다. 우마왕이 풀려난 후, MK는 이 세대에 필요한 영웅이 되기 위해 자기 발견의 여정을 떠나게 된다. 고난과 시련을 거쳐 MK는 새로운 힘과 책임을 터득하고, 차후 세계를 덮칠 악당들을 쓰러뜨릴 방도를 얻게 된다. 황금봉을 손에 넣은 우마왕은 그 힘을 갑옷의 동력원으로 삼아 거대한 괴물이 되어 도시를 두려움에 떨게 한다. 한편 화과산에서 몽키 킹을 만난 MK는 우마왕을 쓰러뜨려달라고 부탁한다. 하지만 몽키 킹은 MK에게 이 세상에 필요한 영웅은 바로 너라고 말하며, 우마왕에 맞서 싸우고 자신의 운명을 받아들이도록 격려한다."
63,63,리퍼 스트리트,/t/p/w94_and_h141_bestv2/6w8yKYsA7RkuyauW224kBZQebFt.jpg,"12월 30, 2012","1888년 영국 런던에서 5명의 매춘부를 살인한 잭 더 리퍼 사건이 있은 후, 수사를 하고 있는 화이트 채플 경찰들의 이야기를 다룬 드라마."
64,64,El Buki: Las letras de mi historia,/t/p/w94_and_h141_bestv2/7ldWArnkH18oBDaOosGTpcCpRAQ.jpg,"12월 27, 2022",정보 없음
65,65,더 틱,/t/p/w94_and_h141_bestv2/8sngJVF54bugHfCkjJOsY4wx8Hk.jpg,"8월 19, 2016","단순한 회계사이지만 영리한 청년, 아더를 중심으로 펼쳐지는 액션 코미디."
66,66,로스트 인 오즈,/t/p/w94_and_h141_bestv2/bYPm31BjQed8fqbly7BFPjsOjLH.jpg,"6월 26, 2015","12살 소녀 도로시 게일은 충직한 강아지 토토와 함께 캔자스에 있는 집으로 돌아가기 위해 착한 마녀 글린다를 찾아 떠난다. 이 여정에서 도로시는 새 친구들을 만나고, 그들과 함께 상상도 할 수 없는 신비한 모험을 겪는다."
67,67,악당,/t/p/w94_and_h141_bestv2/5Fw4SQhCRZfmVR8QKVtCvRKSQqK.jpg,"12월  8, 2022","수로의 체포에 실패하고 공개적으로 망신을 당한 니노 스코텔라로의 삶은 하루아침에 끝장이 나고 만다. 마피아가 니노의 존엄성과 사랑, 자유를 모두 앗아가지만, 운명은 니노에게 두 번째 기회를 선사한다. 시칠리아로 돌아온 니노는 미국에서 온 사촌 발두초 레모라 행세를 하며 복수를 위한 계획을 실행한다."
68,68,Marc Márquez: All In,/t/p/w94_and_h141_bestv2/75KnQaNYRdGQ2eUOxkCHla98J0W.jpg,"2월 20, 2023",정보 없음
69,69,트랜스페어런트,/t/p/w94_and_h141_bestv2/mrLzehvZpm5osA4MlMR41gYayWZ.jpg,"9월 26, 2014",페퍼먼 가족의 가장인 모트의 극적인 고백으로 가족들의 비밀이 하나둘씩 밝혀진다. 각자가 어떻게 변하는지 깨닫기 시작하면서 그들의 인생은 서로 다른 방향으로 흘러간다.
70,70,무한의 주인: Immortal,/t/p/w94_and_h141_bestv2/QgzPVGxED2TLdMBQzzbXwu12D.jpg,"10월 10, 2019","무한의 주인은 일본의 만화로, 사무라 히로아키의 작품이다. 〈월간 애프터눈〉 에서 1993년 6월부터 2012년 12월까지 연재되었다. 작가의 데뷔작으로, 약칭은 무겐닌이다. 에도 시대를 배경으로 하고 있지만, 기발한 의상을 몸에 걸친 인물과 독창적인 무기가 다수 등장한다. 또한 본 작품의 특징은 주인공이 혈선충이라고 불리는 것을 몸에 품고 불로불사의 육체를 가지고 있다는 설정이 있다."
71,71,모던 러브 도쿄,/t/p/w94_and_h141_bestv2/bC4ygdG0TubCbYpM8USPdTed9Rq.jpg,"10월 21, 2022","뉴욕 타임스'의 동명 칼럼을 바탕으로 한 인기 Amazon 오리지널 시리즈 '모던 러브'는 2019년부터 방영되고 있다. 이제 새롭게 단장한 '모던 러브'가 도쿄를 배경으로 한 '모던 러브 도쿄'로 돌아온다. 7개의 에피소드로 이루어진 시리즈에는 주요 영화감독과 배우들이 참여해 거의 잊힌 사랑, 모자간의 사랑, 그리고 국경을 초월하는 사랑 등 다양한 '사랑'의 형태를 묘사한다."
